GEOID,heatweek_avg_qol_calls,normalweek_avg_qol_calls,TOTAL_POP,heatweek_calls_per_1k,normalweek_calls_per_1k
36047022100,2.4,5.714285714285714,3703.0,0.6481231433972455,1.5431503414220131
36047022200,4.2,4.285714285714286,4051.0,1.0367810417180943,1.0579398384878513
36047022400,6.4,7.285714285714286,5656.0,1.1315417256011318,1.288139017983431
36047022600,1.8,2.5714285714285716,2469.0,0.7290400972053463,1.0414858531504947
36047022700,5.4,8.285714285714286,4360.0,1.238532110091743,1.9003931847968547
36047022800,3.2,3.142857142857143,3632.0,0.881057268722467,0.8653241032095658
36047022900,1.8,3.7142857142857144,3490.0,0.5157593123209169,1.0642652476463366
36047023000,2.4,3.142857142857143,4243.0,0.5656375206222013,0.7407158008147874
36047023100,7.8,6.142857142857143,3475.0,2.244604316546763,1.7677286742034946
36047023200,1.0,2.0,6422.0,0.15571473061351604,0.3114294612270321
36047023300,2.4,4.571428571428571,6821.0,0.3518545667790646,0.6701991748172659
36047023400,0.4,0.8571428571428571,5275.0,0.07582938388625592,0.16249153689911983
36047023500,2.6,5.0,5183.0,0.5016399768473857,0.9646922631680493
36047023600,2.4,5.142857142857143,6342.0,0.3784295175023652,0.8109203946479254
36047023800,3.0,4.571428571428571,4734.0,0.6337135614702154,0.9656587603355664
36047024000,0.8,1.5714285714285714,6050.0,0.1322314049586777,0.2597402597402597
36047024100,3.6,6.714285714285714,2926.0,1.2303485987696514,2.294697783419588
36047024200,6.2,5.285714285714286,2916.0,2.1262002743484225,1.8126592200666274
36047024300,2.6,3.4285714285714284,4311.0,0.6031083275342148,0.795307684660503
36047024400,0.6,3.7142857142857144,3478.0,0.17251293847038526,1.0679372381500043
36047024500,7.8,7.428571428571429,4488.0,1.7379679144385025,1.655207537560479
36047024600,4.0,4.285714285714286,3432.0,1.1655011655011656,1.2487512487512487
36047024700,1.4,3.0,2839.0,0.493131384290243,1.056710109193378
36047024800,7.8,8.428571428571429,2479.0,3.146430012101654,3.3999884746153404
36047024900,1.4,3.4285714285714284,3892.0,0.35971223021582727,0.8809279107326384
36047025000,5.8,6.285714285714286,1712.0,3.3878504672897196,3.6715620827770357
36047025100,4.0,2.857142857142857,4416.0,0.9057971014492754,0.6469979296066253
36047025200,22.2,18.857142857142858,5057.0,4.389954518489223,3.7289188960140116
36047025300,2.6,4.0,3907.0,0.6654722293319683,1.0238034297414895
36047025400,4.0,4.571428571428571,3145.0,1.2718600953895072,1.4535543947308653
36047025500,0.0,0.42857142857142855,5470.0,0.0,0.07834943849569077
36047025600,3.6,1.8571428571428572,3005.0,1.1980033277870217,0.6180175897314001
36047025700,1.8,4.428571428571429,2892.0,0.6224066390041495,1.531317921359415
36047025800,11.4,16.714285714285715,4119.0,2.767662053896577,4.057850379773177
36047025901,2.2,2.2857142857142856,2144.0,1.0261194029850749,1.0660980810234542
