GEOID,TOTAL_POP_x,heatweek_avg_qol_calls,normalweek_avg_qol_calls,heatweek_calls_per_1k,normalweek_calls_per_1k,PCT_BACHELORS_PLUS,PCT_RENTERS,PCT_LIMITED_ENGLISH,MEDIAN_INCOME,POVERTY_RATE,PCT_NON_WHITE,PCT_TREE_CANOPY,PCT_IMPERVIOUS,WCR,NDVI,BD,AH,POI_500M_DENSITY,KNN_SUBWAY_dist_mean
36005000200,4870.0,18.2,15.857142857142858,3.737166324435318,3.256086828982106,0.3237510466089869,0.3978947368421052,0.0195867412828239,115064,0.1412731006160164,0.8459958932238193,11.903162055335969,1.2766798418972332,0.0117894859495771,0.0730048269033432,0.2114735076680608,6.968560087019105,0,2536.7040794087816
36005000400,6257.0,8.6,9.285714285714286,1.3744606041233818,1.4840521473092994,0.3370565045992115,0.389779125162408,0.0063322779536743,100553,0.060412338181237,0.8737414096212243,20.981900452488688,1.340497737556561,0.0317566965498455,0.1004037782549858,0.1441594485324795,8.609241986699265,1,2729.08013528622
36005001600,6177.0,6.8,7.142857142857143,1.1008580216933783,1.1563634681653137,0.1943505552873008,0.7941043083900227,0.0154867256637168,41362,0.1498070793491025,0.9107981220657276,9.801484230055658,1.3191094619666048,0.0,0.106988288462162,0.1715756978987213,13.881170115322638,3,1789.2422560296577
36005001901,2181.0,14.2,5.714285714285714,6.51077487391105,2.620030130346499,0.3049113233287858,1.0,0.0,49500,0.2860422405876951,0.786336542870243,1.8060344827586208,1.331896551724138,0.0109030427759944,0.03841208294034,0.2136446123729563,28.281232299474684,19,735.6332990700766
36005001902,1883.0,2.0,4.428571428571429,1.0621348911311737,2.3518701160761704,0.1096919609316303,0.8482905982905983,0.0051136363636363,67375,0.3230429988974642,0.865108868826341,1.802656546489564,1.394686907020873,0.0,0.0263932663947343,0.2964252436037115,10.708307380972744,9,824.3185464094219
36005002001,4461.0,1.6,1.0,0.3586639766868415,0.2241649854292759,0.0476960388035569,1.0,0.021050141911069,24684,0.4140327280878726,0.8733467832324591,20.58636363636364,1.3636363636363635,0.0,0.1267721801996231,0.1599144380376447,17.46722893905424,2,1657.9018353006456
36005002002,3915.0,9.8,7.428571428571429,2.503192848020434,1.897463966429484,0.0850460666194188,0.7334047109207709,0.0,-666666666,0.3488123832399252,0.8217113665389527,3.343612334801762,1.0484581497797356,0.0,0.0620563216507434,0.3040906041054201,9.423687155817102,2,1746.5894541640687
36005002300,4528.0,2.4,2.2857142857142856,0.5300353356890459,0.5047955577990914,0.0570142535633908,1.0,0.013833528722157,19743,0.4729401369560415,0.8917844522968198,12.2991452991453,1.3675213675213675,0.0,0.0661949887871742,0.1567304626225609,31.998296269222816,32,676.0257134180044
36005002500,5642.0,1.8,2.857142857142857,0.3190358029067706,0.5064060363599534,0.1192952050837666,0.948045267489712,0.0205216724204065,27378,0.4448804851944345,0.8137185395249912,4.7,1.2214285714285715,0.0,0.0492200143635273,0.303815392642616,16.548585039916315,41,690.9916019271647
36005002701,3335.0,3.2,2.571428571428572,0.95952023988006,0.7710430499036196,0.0685884691848906,0.9801553062985332,0.0343420605236314,21427,0.5522935779816514,0.9469265367316342,10.533333333333331,1.3444444444444446,0.0,0.0652202442288398,0.2429433893229654,19.973759166969742,20,729.3605399764717
36005002702,5000.0,7.6,3.4285714285714284,1.5199999999999998,0.6857142857142857,0.0790207623179423,0.9745098039215686,0.046019629225736,29206,0.4400404448938321,0.9572,0.8588235294117647,1.2,0.0,0.0309478342533111,0.3461807870910041,12.573292560154558,14,661.317192242344
36005002800,5230.0,4.6,5.0,0.8795411089866156,0.9560229445506692,0.3462268628381585,0.907159716758458,0.0204370700121408,64308,0.0250336992104756,0.9105162523900574,4.763374485596708,1.4259259259259258,0.0428390182179016,0.0632967427372932,0.1705734273831356,17.570103761639583,4,985.5893235524385
36005003100,2559.0,8.0,7.714285714285714,3.126221180148496,3.0145704237146207,0.1851179673321234,0.8729388942774006,0.0208333333333333,41370,0.227432590855803,0.8304025009769441,0.1156069364161849,1.2080924855491328,0.0,0.0263901371508836,0.403769050142599,14.195630809548032,6,641.3489036382396
36005003300,3559.0,4.2,4.857142857142857,1.1801067715650464,1.3647493276602576,0.0746341463414634,0.8672131147540983,0.0219748022267799,24122,0.5283718277730254,0.8682214105085698,2.251497005988024,1.2874251497005988,0.0,0.0402136109769344,0.2744149549117564,13.917464518752697,5,620.8518092002067
36005003500,3899.0,7.2,7.714285714285714,1.846627340343678,1.978529293225369,0.1677762982689747,0.9607577807848444,0.0345954780713702,34185,0.2682739163888176,0.8273916388817646,2.40625,1.25625,0.0,0.0511243529617786,0.3874952698354927,13.807168007081248,4,610.0488614862105
36005003700,331.0,1.6,2.0,4.833836858006042,6.042296072507553,0.25,1.0,0.0655737704918032,-666666666,0.3770491803278688,0.8640483383685801,28.46195652173913,1.6684782608695652,0.0,0.1629694998264312,0.026080497866073,14.598078078111962,7,654.1746760524961
36005003800,1182.0,3.2,2.571428571428572,2.707275803722504,2.1754894851341557,0.09366391184573,0.5846994535519126,0.0196998123827392,88077,0.1466552315608919,0.6057529610829103,3.6142857142857134,1.0714285714285714,0.0,0.0601747557520866,0.2430662481555695,9.452016376884368,3,1524.309831842823
36005003900,6227.0,3.6,4.0,0.578127509233981,0.6423638991488678,0.0984311740890688,0.9643776824034336,0.043557168784029,20640,0.3353235436501533,0.8668700819013971,3.5875,1.1541666666666666,0.0,0.0456481575965881,0.3308827873130941,14.022888562669904,39,625.6594090325914
