NAME,total_pop,median_income,poverty_all,poverty_count,no_vehicle_hh,edu_bachelors,edu_masters,edu_professional,edu_doctorate,edu_total,owner_hh,renter_hh,hh_total,limited_english,limited_english_total,state,county,tract,GEOID,poverty_rate,poverty_rate_c,edu_bachelors_plus,pct_bachelors_plus,pct_renters,pct_limited_english
Census Tract 44; Bronx County; New York,4592,17319,4413,2150,0,115,35,15,0,2865,65,1545,1610,104,4187,36,005,004400,36005004400,0.4871969181962384,0.32183790719567285,165,0.05759162303664921,0.9596273291925466,0.024838786720802485
Census Tract 46; Bronx County; New York,1763,17083,1711,1036,40,136,63,5,0,1088,116,556,672,5,1559,36,005,004600,36005004600,0.6054938632378726,0.4401348522373071,204,0.1875,0.8273809523809523,0.003207184092366902
Census Tract 48; Bronx County; New York,4261,34436,4251,1284,19,281,44,9,0,2754,113,1410,1523,48,3826,36,005,004800,36005004800,0.3020465772759351,0.13668756627536957,334,0.12127814088598403,0.9258043335521996,0.012545739675901725
Census Tract 50.01; Bronx County; New York,4565,34087,4506,2208,61,291,64,0,0,2776,168,1209,1377,35,4166,36,005,005001,36005005001,0.49001331557922767,0.3246543045786622,355,0.12788184438040345,0.8779956427015251,0.008401344215074411
Census Tract 50.02; Bronx County; New York,6466,36598,6353,2588,91,227,207,0,0,3779,147,1789,1936,183,5754,36,005,005002,36005005002,0.4073665984574217,0.24200758745685616,434,0.11484519714210109,0.9240702479338843,0.03180396246089677
Census Tract 51; Bronx County; New York,6492,22850,6483,3246,82,334,52,0,0,3621,153,2207,2360,96,6019,36,005,005100,36005005100,0.5006941230911615,0.33533511209059597,386,0.10660038663352665,0.9351694915254237,0.015949493271307527
Census Tract 52; Bronx County; New York,1931,29657,1931,731,56,55,25,0,0,1180,89,731,820,20,1854,36,005,005200,36005005200,0.3785603314344899,0.2132013204339244,80,0.06779661016949153,0.8914634146341464,0.010787486515641856
Census Tract 53; Bronx County; New York,5379,26437,5337,2664,0,162,85,0,0,2542,0,1634,1634,34,4777,36,005,005300,36005005300,0.4991568296795953,0.3337978186790298,247,0.0971675845790716,1.0,0.0071174377224199285
Census Tract 54; Bronx County; New York,5715,48750,5715,1559,54,300,40,0,0,3308,238,1543,1781,67,4944,36,005,005400,36005005400,0.2727909011373578,0.1074318901367923,340,0.10278113663845223,0.8663672094329029,0.013551779935275081
Census Tract 56; Bronx County; New York,2311,39572,2311,807,10,334,37,7,0,1584,151,802,953,93,2212,36,005,005600,36005005600,0.34919948074426654,0.18384046974370102,378,0.23863636363636365,0.8415529905561385,0.042043399638336344
Census Tract 59.02; Bronx County; New York,2938,48456,2938,907,280,356,122,93,32,1905,406,841,1247,18,2803,36,005,005902,36005005902,0.308713410483322,0.1433543994827565,603,0.3165354330708661,0.6744186046511628,0.006421691045308598
Census Tract 60; Bronx County; New York,1297,47375,1284,327,0,102,43,22,5,787,65,310,375,9,1189,36,005,006000,36005006000,0.2546728971962617,0.08931388619569616,172,0.21855146124523506,0.8266666666666667,0.007569386038687973
Census Tract 61; Bronx County; New York,3868,66430,3841,495,472,675,383,0,0,3157,862,1081,1943,9,3747,36,005,006100,36005006100,0.1288726894038011,-0.03648632159676443,1058,0.33512828634779857,0.5563561502830674,0.0024019215372297837
Census Tract 62; Bronx County; New York,6217,30236,6217,2335,20,350,81,1,0,3811,49,2494,2543,179,5902,36,005,006200,36005006200,0.3755830786553,0.21022406765473448,432,0.11335607452112306,0.9807314195831695,0.030328702134869535
Census Tract 63.01; Bronx County; New York,5845,55396,5845,1574,326,741,181,35,0,4463,511,1792,2303,45,5559,36,005,006301,36005006301,0.26928999144568005,0.10393098044511453,957,0.21442975576966167,0.7781155015197568,0.008094981111710739
Census Tract 64; Bronx County; New York,3928,24730,3898,1657,88,192,61,38,0,2455,280,1103,1383,68,3662,36,005,006400,36005006400,0.42508978963571065,0.25973077863514515,291,0.1185336048879837,0.7975415762834418,0.018569087930092845
Census Tract 65; Bronx County; New York,5627,22985,5584,2987,125,357,129,0,40,3277,125,2032,2157,29,4777,36,005,006500,36005006500,0.5349212034383954,0.36956219243782995,526,0.1605126640219713,0.9420491423273064,0.006070755704416998
Census Tract 67; Bronx County; New York,6777,17390,6777,3595,30,157,0,0,0,4148,103,2483,2586,119,6510,36,005,006700,36005006700,0.5304707097535782,0.36511169875301275,157,0.03784956605593057,0.960170146945089,0.01827956989247312
Census Tract 68; Bronx County; New York,2493,29844,2493,858,103,94,59,0,2,1543,164,743,907,40,2340,36,005,006800,36005006800,0.34416365824308065,0.17880464724251513,155,0.10045366169799093,0.8191841234840133,0.017094017094017096
Census Tract 69; Bronx County; New York,7118,29627,7118,2724,31,404,123,18,0,4426,138,2751,2889,150,6661,36,005,006900,36005006900,0.3826917673503793,0.21733275634981378,545,0.12313601446000903,0.952232606438214,0.02251914127007957
Census Tract 70; Bronx County; New York,3869,57905,3860,1133,113,333,73,0,0,2634,421,873,1294,44,3612,36,005,007000,36005007000,0.2935233160621762,0.12816430506161067,406,0.15413819286256644,0.6746522411128284,0.012181616832779624
Census Tract 71; Bronx County; New York,2872,44792,2855,503,197,419,236,0,0,2031,489,767,1256,38,2678,36,005,007100,36005007100,0.17618213660245183,0.010823125601886308,655,0.3225012309207287,0.6106687898089171,0.014189693801344288
Census Tract 72; Bronx County; New York,6176,63449,6159,1004,64,262,378,31,21,4150,579,1072,1651,73,5667,36,005,007200,36005007200,0.16301347621367104,-0.0023455347868944765,692,0.16674698795180723,0.6493034524530588,0.012881595200282337
Census Tract 73; Bronx County; New York,4444,28166,4425,1547,99,180,19,0,0,2516,133,1402,1535,276,4141,36,005,007300,36005007300,0.3496045197740113,0.18424550877344578,199,0.07909379968203498,0.9133550488599349,0.06665056749577397
Census Tract 74; Bronx County; New York,3192,53166,3192,614,97,295,188,0,27,2282,559,782,1341,51,3139,36,005,007400,36005007400,0.19235588972431078,0.02699687872374526,510,0.22348816827344434,0.5831469052945563,0.01624721248805352
Census Tract 75; Bronx County; New York,6670,34484,6670,2183,236,486,275,40,0,4097,445,1946,2391,103,6072,36,005,007500,36005007500,0.3272863568215892,0.16192734582102367,801,0.19550890895777398,0.8138854035968214,0.016963109354413704
Census Tract 76; Bronx County; New York,5109,53784,5079,832,152,656,101,67,7,3569,408,1460,1868,50,4607,36,005,007600,36005007600,0.16381177397125418,-0.001547237029311338,831,0.23283833006444382,0.7815845824411135,0.010853049706967658
Census Tract 77; Bronx County; New York,2166,48846,2161,475,34,130,45,24,0,1407,137,433,570,29,2036,36,005,007700,36005007700,0.2198056455344748,0.05444663453390927,199,0.1414356787491116,0.7596491228070176,0.01424361493123772
Census Tract 78; Bronx County; New York,6241,61328,6201,1414,69,574,26,0,8,3666,577,1362,1939,113,5834,36,005,007800,36005007800,0.22802773746169971,0.0626687264611342,608,0.16584833606110203,0.702423929860753,0.019369214946863215
Census Tract 79; Bronx County; New York,7086,34604,7038,2222,0,408,80,26,0,3915,0,2332,2332,214,6709,36,005,007900,36005007900,0.315714691673771,0.15035568067320546,514,0.13128991060025544,1.0,0.0318974511849754
Census Tract 83; Bronx County; New York,6564,50920,6551,1142,133,664,217,0,0,4202,513,1804,2317,174,6219,36,005,008300,36005008300,0.17432453060601436,0.008965519605448835,881,0.2096620656830081,0.778593008200259,0.027978774722624215
Census Tract 84; Bronx County; New York,2811,67724,2811,146,359,374,144,17,15,2053,735,258,993,46,2649,36,005,008400,36005008400,0.05193881181074351,-0.11342019918982202,550,0.2679006332196785,0.2598187311178248,0.01736504341260853
Census Tract 85; Bronx County; New York,5746,34543,5673,2030,204,331,225,73,19,3805,470,1678,2148,120,5468,36,005,008500,36005008500,0.3578353604794641,0.1924763494788986,648,0.17030223390275953,0.7811918063314711,0.021945866861741038
Census Tract 86; Bronx County; New York,4304,23987,4145,1752,19,112,37,0,0,2200,173,1418,1591,132,3948,36,005,008600,36005008600,0.4226779252110977,0.2573189142105322,149,0.06772727272727273,0.8912633563796355,0.03343465045592705
