GEOID,EXTREME_DAYS_SUMMER,TOTAL_DAYS_SUMMER,MEAN_TMAX_F_SUMMER,PCT_EXTREME_HEAT_DAYS,EXTREME_HEAT_1,EXTREME_HEAT_2,TOTAL_CALLS_SUMMER,QOL_CALLS_SUMMER,QOL_RATE_1K,QOL_RATE_10K,TOTAL_POP,MEDIAN_INCOME,NO_VEHICLE_HH,HH_TOTAL,POP_DENSITY,PCT_NON_WHITE,POVERTY_RATE,PCT_BACHELORS_PLUS,PCT_RENTERS,PCT_LIMITED_ENGLISH,PCT_TREE_CANOPY,PCT_IMPERVIOUS,MEAN_LANDCOVER,BD,AH,NDVI,WCR
36005000100,1,3,88.63333333333333,0.3333333333333333,1,0,3,0,0.0,0.0,4446.0,-666666666.0,0.0,0.0,0.0001517224133561,0.5730994152046783,,0.019404915912031,0.656320829555757,0.0017993702204228,5.9419286094832175,1.7192328183271175,23.798614810868408,0.190878396575926,10.681769964492036,0.0926269814372062,0.0177010998749847
36005000200,17,83,84.82409638554216,0.20481927710843373,1,1,556,202,363.30935251798564,3633.0935251798564,4870.0,115064.0,73.0,1425.0,0.0003465792117483,0.8459958932238193,0.1412731006160164,0.3237510466089869,0.3978947368421052,0.0195867412828239,11.903162055335969,1.2766798418972332,23.464426877470355,0.2114735076680608,6.968560087019105,0.0730048269033432,0.0117894859495771
36005000400,17,81,84.99382716049382,0.20987654320987653,1,1,515,108,209.70873786407768,2097.087378640777,6257.0,100553.0,119.0,2309.0,0.0003949598847779,0.8737414096212243,0.060412338181237,0.3370565045992115,0.389779125162408,0.0063322779536743,20.981900452488688,1.340497737556561,27.193438914027148,0.1441594485324795,8.609241986699265,0.1004037782549858,0.0317566965498455
36005001600,17,78,84.96923076923078,0.21794871794871795,1,1,284,84,295.77464788732397,2957.7464788732395,6177.0,41362.0,7.0,2205.0,0.0011785711644703,0.9107981220657276,0.1498070793491025,0.1943505552873008,0.7941043083900227,0.0154867256637168,9.801484230055658,1.3191094619666048,23.25788497217069,0.1715756978987213,13.881170115322638,0.106988288462162,0.0
36005001901,16,79,84.70379746835444,0.20253164556962025,1,1,384,111,289.0625,2890.625,2181.0,49500.0,0.0,940.0,0.0009847477191795,0.786336542870243,0.2860422405876951,0.3049113233287858,1.0,0.0,1.8060344827586208,1.331896551724138,23.73706896551724,0.2136446123729563,28.281232299474684,0.03841208294034,0.0109030427759944
36005001902,16,79,84.78987341772151,0.20253164556962025,1,1,289,41,141.86851211072664,1418.6851211072665,1883.0,67375.0,14.0,468.0,0.0003710413310797,0.865108868826341,0.3230429988974642,0.1096919609316303,0.8482905982905983,0.0051136363636363,1.802656546489564,1.394686907020873,23.80265654648956,0.2964252436037115,10.708307380972744,0.0263932663947343,0.0
36005001903,13,62,84.44193548387096,0.20967741935483872,1,1,183,24,131.14754098360658,1311.4754098360656,,,,,,,,,,,1.600995024875622,1.7552238805970148,24.145273631840794,0.2419139823911974,13.14261928826657,0.0190052911639213,0.005247835748552
36005002001,17,77,85.0961038961039,0.22077922077922077,1,1,322,15,46.58385093167701,465.83850931677017,4461.0,24684.0,0.0,1774.0,0.0020706530295656,0.8733467832324591,0.4140327280878726,0.0476960388035569,1.0,0.021050141911069,20.58636363636364,1.3636363636363635,22.631818181818183,0.1599144380376447,17.46722893905424,0.1267721801996231,0.0
36005002002,17,83,84.82409638554216,0.20481927710843373,1,1,510,101,198.0392156862745,1980.392156862745,3915.0,-666666666.0,74.0,1868.0,0.0017684641643769,0.8217113665389527,0.3488123832399252,0.0850460666194188,0.7334047109207709,0.0,3.343612334801762,1.0484581497797356,23.58590308370044,0.3040906041054201,9.423687155817102,0.0620563216507434,0.0
36005002300,12,48,85.65833333333335,0.25,1,1,97,28,288.659793814433,2886.5979381443294,4528.0,19743.0,0.0,1923.0,0.0040051815289297,0.8917844522968198,0.4729401369560415,0.0570142535633908,1.0,0.013833528722157,12.2991452991453,1.3675213675213675,23.36752136752137,0.1567304626225609,31.998296269222816,0.0661949887871742,0.0
36005002400,9,54,84.82592592592593,0.16666666666666666,1,1,122,1,8.196721311475411,81.9672131147541,,,,,,,,,,,39.250623441396506,1.4239401496259352,30.77930174563591,0.0010862418891758,6.486712868984241,0.0815327912569046,0.0360528385155553
36005002500,14,75,84.71199999999999,0.18666666666666668,1,1,282,29,102.83687943262412,1028.3687943262412,5642.0,27378.0,90.0,1944.0,0.0040962148309324,0.8137185395249912,0.4448804851944345,0.1192952050837666,0.948045267489712,0.0205216724204065,4.7,1.2214285714285715,23.65714285714286,0.303815392642616,16.548585039916315,0.0492200143635273,0.0
36005002701,14,59,85.76610169491525,0.23728813559322035,1,1,152,34,223.68421052631578,2236.842105263158,3335.0,21427.0,23.0,1159.0,0.0037836968154207,0.9469265367316342,0.5522935779816514,0.0685884691848906,0.9801553062985332,0.0343420605236314,10.533333333333331,1.3444444444444446,23.366666666666667,0.2429433893229654,19.973759166969742,0.0652202442288398,0.0
36005002702,16,75,84.61866666666666,0.21333333333333335,1,1,227,62,273.12775330396477,2731.2775330396476,5000.0,29206.0,0.0,1530.0,0.0029769604230392,0.9572,0.4400404448938321,0.0790207623179423,0.9745098039215686,0.046019629225736,0.8588235294117647,1.2,23.91764705882353,0.3461807870910041,12.573292560154558,0.0309478342533111,0.0
