GEOID,heatweek_avg_qol_calls,normalweek_avg_qol_calls
36005000100,0.0,0.0
36005000200,18.2,15.857142857142858
36005000400,8.6,9.285714285714286
36005001600,6.8,7.142857142857143
36005001901,14.2,5.714285714285714
36005001902,2.0,4.428571428571429
36005001903,2.2,1.8571428571428572
36005002001,1.6,1.0
36005002002,9.8,7.428571428571429
36005002300,2.4,2.2857142857142856
36005002400,0.2,0.0
36005002500,1.8,2.857142857142857
36005002701,3.2,2.5714285714285716
36005002702,7.6,3.4285714285714284
36005002800,4.6,5.0
36005003100,8.0,7.714285714285714
36005003300,4.2,4.857142857142857
36005003500,7.2,7.714285714285714
36005003700,1.6,2.0
36005003800,3.2,2.5714285714285716
36005003900,3.6,4.0
36005004001,2.6,1.2857142857142858
36005004100,2.8,2.142857142857143
36005004200,2.2,2.0
36005004300,16.0,9.428571428571429
36005004400,2.4,2.2857142857142856
36005004600,0.4,0.7142857142857143
36005004800,7.4,5.285714285714286
36005005001,1.0,2.4285714285714284
36005005002,3.4,4.571428571428571
36005005100,18.6,17.142857142857142
36005005200,3.6,2.142857142857143
36005005300,0.2,2.5714285714285716
36005005400,3.4,2.2857142857142856
36005005600,2.2,4.857142857142857
36005005902,6.2,6.0
36005006000,5.6,4.714285714285714
36005006100,0.4,2.0
36005006200,14.6,13.857142857142858
36005006301,15.0,20.571428571428573
36005006302,0.2,1.1428571428571428
36005006400,6.2,6.0
36005006500,6.4,5.857142857142857
36005006700,5.0,4.428571428571429
36005006800,7.2,5.571428571428571
36005006900,3.4,5.285714285714286
36005007000,2.8,3.142857142857143
36005007100,4.4,5.285714285714286
36005007200,2.0,3.142857142857143
36005007300,4.4,7.857142857142857
36005007400,2.2,2.5714285714285716
36005007500,3.0,5.428571428571429
36005007600,12.0,14.714285714285714
36005007700,1.8,2.142857142857143
36005007800,7.2,7.428571428571429
36005007900,6.4,4.0
36005008300,9.2,6.857142857142857
36005008400,3.8,2.4285714285714284
36005008500,10.6,13.857142857142858
36005008600,1.2,2.857142857142857
36005008700,1.4,2.142857142857143
36005008900,7.0,5.285714285714286
36005009000,2.6,3.0
36005009200,4.2,8.571428571428571
36005009301,5.0,10.571428571428571
36005009302,3.4,4.571428571428571
36005009600,3.6,2.857142857142857
36005009800,10.6,5.857142857142857
36005011000,2.0,0.8571428571428571
36005011502,5.8,7.571428571428571
36005011701,0.8,0.5714285714285714
36005011702,0.0,0.16666666666666666
36005011800,6.0,6.142857142857143
36005011900,1.2,4.285714285714286
36005012101,1.8,1.8571428571428572
36005012102,1.4,2.7142857142857144
36005012300,1.8,5.0
36005012500,2.6,2.857142857142857
36005012701,2.4,1.5714285714285714
36005012901,1.2,2.7142857142857144
36005013000,8.6,4.857142857142857
36005013100,4.4,4.0
36005013200,10.0,13.142857142857142
36005013300,2.2,2.4285714285714284
36005013500,4.4,2.857142857142857
36005013800,6.6,5.571428571428571
36005014100,5.2,11.142857142857142
36005014300,1.2,2.0
36005014400,3.0,4.714285714285714
36005014500,9.4,8.142857142857142
36005014701,2.6,2.7142857142857144
36005014702,2.2,0.7142857142857143
36005014900,1.4,2.7142857142857144
36005015100,3.8,6.0
36005015200,12.6,10.0
36005015300,9.2,7.0
36005015500,1.0,1.4285714285714286
36005015700,6.0,7.571428571428571
36005015800,3.4,3.5714285714285716
36005015900,0.6,2.7142857142857144
36005016000,9.4,9.571428571428571
36005016100,5.0,5.142857142857143
36005016200,4.4,4.857142857142857
36005016300,0.0,0.0
36005016400,2.0,3.0
36005016500,9.2,8.857142857142858
36005016600,5.2,2.5714285714285716
36005016700,1.4,2.0
36005016900,0.2,1.0
36005017100,0.8,0.0
36005017300,1.8,3.0
36005017500,1.6,7.142857142857143
36005017701,4.0,5.0
36005017702,4.4,5.285714285714286
36005017901,2.0,2.142857142857143
36005017902,2.2,5.0
36005018101,4.4,4.0
36005018102,2.4,4.428571428571429
36005018301,5.2,8.571428571428571
36005018302,1.8,2.5714285714285716
36005018400,8.2,7.857142857142857
36005018501,3.2,5.714285714285714
36005018502,3.8,6.142857142857143
36005018900,17.8,25.285714285714285
36005019300,2.2,4.714285714285714
36005019400,5.0,3.4285714285714284
36005019500,4.8,5.0
36005019700,13.2,9.142857142857142
36005019900,11.2,14.857142857142858
36005020000,14.4,13.285714285714286
36005020100,4.2,10.0
36005020200,1.0,3.5714285714285716
36005020400,2.4,4.571428571428571
36005020501,6.8,9.0
36005020502,1.2,0.8571428571428571
36005020601,2.6,5.428571428571429
36005020900,9.2,5.857142857142857
36005021001,1.2,3.2857142857142856
36005021002,1.0,3.0
36005021100,2.0,5.285714285714286
36005021200,0.8,1.1428571428571428
36005021301,1.0,2.0
36005021302,1.6,6.142857142857143
36005021501,2.8,6.571428571428571
36005021502,4.6,5.571428571428571
36005021601,5.0,6.428571428571429
36005021602,2.8,2.5714285714285716
36005021700,7.8,10.285714285714286
36005021800,7.6,7.857142857142857
36005021900,2.6,5.142857142857143
36005022000,3.0,3.5714285714285716
36005022101,5.6,2.857142857142857
36005022102,7.2,9.0
36005022200,4.4,5.857142857142857
36005022300,1.8,2.0
36005022401,3.4,5.428571428571429
36005022403,3.2,2.5714285714285716
36005022404,2.4,3.857142857142857
36005022500,12.0,12.0
36005022701,12.0,16.285714285714285
36005022702,1.4,1.5714285714285714
36005022703,2.0,0.8571428571428571
36005022800,3.4,4.571428571428571
36005022901,4.4,8.428571428571429
36005022902,0.4,1.7142857142857142
36005023000,6.0,8.142857142857142
36005023100,4.4,3.7142857142857144
36005023200,3.2,3.0
36005023301,5.6,9.428571428571429
36005023302,1.0,4.0
36005023501,3.0,3.857142857142857
36005023502,3.0,6.857142857142857
36005023600,12.4,9.428571428571429
36005023702,4.6,3.857142857142857
36005023703,4.2,6.285714285714286
36005023704,2.8,2.7142857142857144
36005023800,4.4,4.285714285714286
36005023900,8.0,8.714285714285714
36005024000,9.2,7.142857142857143
36005024100,3.6,5.714285714285714
36005024300,1.8,5.285714285714286
36005024400,3.2,3.142857142857143
36005024501,0.8,4.0
36005024502,6.6,6.714285714285714
36005024600,6.0,5.571428571428571
36005024700,1.8,2.5714285714285716
36005024800,11.4,10.285714285714286
36005024900,0.2,0.3333333333333333
36005025000,2.8,5.428571428571429
36005025100,10.6,13.0
36005025200,10.2,12.285714285714286
36005025300,2.8,3.7142857142857144
36005025400,4.4,6.857142857142857
36005025500,4.2,6.857142857142857
36005025600,6.2,5.571428571428571
36005025700,2.6,4.714285714285714
36005026100,0.6,0.14285714285714285
36005026300,4.2,7.0
36005026400,12.8,8.714285714285714
36005026500,11.2,7.857142857142857
36005026601,10.8,13.142857142857142
36005026602,9.4,11.0
36005026701,5.8,6.285714285714286
36005026702,36.0,44.0
36005026900,7.4,8.142857142857142
36005027300,15.2,15.142857142857142
36005027401,15.6,14.142857142857142
36005027402,21.8,16.0
36005027600,1.0,1.5
36005027700,8.2,11.571428571428571
36005027900,27.0,29.571428571428573
36005028100,3.8,3.857142857142857
36005028300,3.6,8.285714285714286
36005028400,0.8,0.8571428571428571
36005028500,11.6,13.571428571428571
36005028600,9.4,12.428571428571429
36005028700,5.2,5.571428571428571
36005028800,4.2,3.2857142857142856
36005028900,11.6,10.857142857142858
36005029301,1.0,2.4285714285714284
36005029302,6.4,5.857142857142857
36005029500,7.6,13.0
36005029600,16.0,13.857142857142858
36005029700,2.2,3.4285714285714284
36005030000,28.6,31.857142857142858
36005030100,0.4,0.16666666666666666
36005030201,4.2,3.857142857142857
36005030202,0.3333333333333333,0.4
36005030701,3.8,6.428571428571429
36005030900,4.2,6.142857142857143
36005031000,4.6,5.428571428571429
36005031200,1.2,1.5714285714285714
36005031400,1.0,0.8571428571428571
36005031600,1.6,2.142857142857143
36005031800,2.2,4.142857142857143
36005031900,0.0,0.3333333333333333
36005032300,12.8,13.571428571428571
36005032400,1.2,0.7142857142857143
36005032600,3.4,2.857142857142857
36005032800,1.8,2.5714285714285716
36005033000,3.4,4.142857142857143
36005033201,6.2,5.857142857142857
36005033202,0.6,2.5714285714285716
36005033400,1.8,1.4285714285714286
36005033500,7.4,6.571428571428571
36005033601,1.0,2.857142857142857
36005033602,1.6,2.142857142857143
36005033700,2.8,3.857142857142857
36005033801,1.2,1.2857142857142858
36005033802,0.0,1.4285714285714286
36005034000,6.6,4.142857142857143
36005034200,3.8,3.0
36005034300,1.8,4.285714285714286
36005034400,2.2,2.0
36005034500,11.6,12.428571428571429
36005034800,4.6,3.4285714285714284
36005035000,3.0,2.5714285714285716
36005035100,5.6,10.714285714285714
36005035600,10.4,5.857142857142857
36005035800,20.0,17.142857142857142
36005035900,13.4,7.857142857142857
36005036000,5.0,3.4285714285714284
36005036100,5.8,7.571428571428571
36005036300,4.4,4.285714285714286
36005036400,4.0,5.571428571428571
36005036501,1.6,3.0
36005036502,1.4,1.0
36005036700,2.4,2.4285714285714284
36005036800,1.4,1.8571428571428572
36005036901,2.0,3.4285714285714284
36005036902,2.6,1.2857142857142858
36005037000,2.6,4.714285714285714
36005037100,2.8,1.8571428571428572
36005037200,1.0,2.0
36005037300,6.0,7.714285714285714
36005037400,4.6,3.142857142857143
36005037504,2.2,5.285714285714286
36005037600,2.6,2.142857142857143
36005037800,4.2,4.285714285714286
36005037900,2.6,3.0
36005038000,3.6,5.571428571428571
36005038100,5.2,9.571428571428571
36005038200,2.8,5.571428571428571
36005038301,8.2,6.857142857142857
36005038303,1.0,1.2857142857142858
36005038304,0.8,1.2857142857142858
36005038500,5.2,5.428571428571429
36005038600,8.2,9.142857142857142
36005038700,2.4,4.142857142857143
36005038800,1.4,3.2857142857142856
36005038900,1.6,3.7142857142857144
36005039000,5.0,5.571428571428571
36005039100,2.6,4.571428571428571
36005039200,0.4,1.4285714285714286
36005039300,3.0,3.2857142857142856
36005039400,1.6,4.857142857142857
36005039500,8.0,12.714285714285714
36005039600,6.4,13.571428571428571
36005039700,1.2,2.2857142857142856
36005039800,2.6,2.142857142857143
36005039901,2.0,1.8571428571428572
36005039902,2.2,4.428571428571429
36005040100,3.8,9.285714285714286
36005040302,1.0,1.5714285714285714
36005040303,3.2,4.0
36005040304,4.8,3.5714285714285716
36005040400,6.8,7.571428571428571
36005040501,3.4,3.857142857142857
36005040502,34.8,30.285714285714285
36005040600,0.8,3.2857142857142856
36005040701,2.2,1.8571428571428572
36005040702,10.8,11.857142857142858
36005040800,1.6,3.4285714285714284
36005040900,11.0,12.0
36005041100,1.0,4.571428571428571
36005041300,7.8,10.0
36005041400,13.8,19.285714285714285
36005041500,2.4,2.857142857142857
36005041800,5.2,7.428571428571429
36005041900,4.2,7.857142857142857
36005042000,7.0,5.714285714285714
36005042100,2.8,2.4285714285714284
36005042200,6.2,9.142857142857142
36005042300,10.6,12.142857142857142
36005042400,2.6,2.0
36005042500,8.0,11.857142857142858
36005042600,10.0,8.285714285714286
36005042800,1.6,3.2857142857142856
36005042901,7.4,12.285714285714286
36005042902,5.8,12.142857142857142
36005043000,4.2,5.142857142857143
36005043101,5.6,3.857142857142857
36005043102,4.6,6.0
36005043400,14.8,15.285714285714286
36005043501,0.2,0.42857142857142855
36005043502,0.8,1.0
36005043503,5.0,5.857142857142857
36005043600,12.2,12.142857142857142
36005044200,3.6,7.428571428571429
36005044400,6.0,6.0
36005044800,2.4,3.0
36005044901,7.8,14.571428571428571
36005044902,11.6,11.857142857142858
36005045101,4.0,9.285714285714286
36005045102,8.8,9.857142857142858
36005045600,4.4,5.285714285714286
36005045800,0.2,1.4285714285714286
36005046000,2.8,4.285714285714286
36005046203,4.4,3.7142857142857144
36005046204,0.5,1.2
36005046205,1.4,2.142857142857143
36005046206,0.3333333333333333,0.5
36005046207,0.8,1.8571428571428572
36005046208,7.4,8.857142857142858
36005046209,6.8,13.142857142857142
36005048401,18.8,18.714285714285715
36005048402,0.0,0.7142857142857143
36005050400,0.6,0.42857142857142855
36005051601,41.4,26.0
36047000100,38.6,32.857142857142854
36047000200,8.6,7.571428571428571
36047000301,3.0,2.142857142857143
36047000501,2.2,1.4285714285714286
36047000502,3.8,7.142857142857143
36047000700,2.2,4.714285714285714
36047000900,10.2,7.714285714285714
36047001100,12.8,16.714285714285715
36047001300,40.4,34.57142857142857
36047001501,46.6,49.42857142857143
36047001502,23.6,26.0
36047001801,3.2,2.7142857142857144
36047001802,2.0,2.2857142857142856
36047001803,3.0,3.5714285714285716
36047001804,0.5,1.0
36047002000,4.4,4.285714285714286
36047002100,143.8,127.28571428571429
36047002200,18.4,19.142857142857142
36047002300,1.6,5.0
36047002901,44.6,56.714285714285715
36047003000,4.8,7.571428571428571
36047003101,7.6,11.142857142857142
36047003102,4.0,5.285714285714286
36047003300,6.8,7.857142857142857
36047003400,13.6,18.571428571428573
36047003500,3.8,6.714285714285714
36047003600,6.6,8.714285714285714
36047003700,23.6,25.857142857142858
36047003800,9.2,5.428571428571429
36047003900,19.8,26.857142857142858
36047004100,22.4,26.857142857142858
36047004300,9.6,13.285714285714286
36047004400,5.6,6.571428571428571
36047004500,2.2,3.857142857142857
36047004600,1.6,2.7142857142857144
36047004700,4.4,5.857142857142857
36047004900,1.0,1.2857142857142858
36047005000,3.6,2.0
36047005100,3.6,4.428571428571429
36047005201,0.4,1.5714285714285714
36047005202,2.6,8.142857142857142
36047005301,4.8,5.285714285714286
36047005302,1.2,1.0
36047005303,0.5,1.1428571428571428
36047005400,7.2,8.0
36047005601,3.4,3.142857142857143
36047005602,2.8,7.857142857142857
36047005800,7.8,5.857142857142857
36047005900,7.0,10.571428571428571
36047006000,9.4,9.571428571428571
36047006200,3.2,5.714285714285714
36047006300,94.4,94.57142857142857
36047006400,5.2,2.2857142857142856
36047006500,4.2,7.142857142857143
36047006600,6.4,9.571428571428571
36047006700,1.0,3.0
36047006800,10.0,12.428571428571429
36047006901,2.2,2.4285714285714284
36047006902,4.6,4.0
36047007000,6.0,11.857142857142858
36047007100,5.4,11.285714285714286
36047007200,3.8,3.0
36047007400,8.6,10.285714285714286
36047007500,5.8,9.285714285714286
36047007600,2.4,2.5714285714285716
36047007700,12.2,16.0
36047007800,8.4,8.714285714285714
36047008000,4.6,3.7142857142857144
36047008200,6.8,7.428571428571429
36047008400,4.4,3.5714285714285716
36047008500,4.4,3.2857142857142856
36047008600,0.0,0.2857142857142857
36047008800,3.8,6.142857142857143
36047009001,0.4,0.8571428571428571
36047009002,1.6,1.5714285714285714
36047009201,2.4,1.5714285714285714
36047009202,0.8,1.4285714285714286
36047009401,3.8,2.4285714285714284
36047009402,5.0,4.428571428571429
36047009600,6.0,9.571428571428571
36047009800,4.4,6.571428571428571
36047010000,3.6,3.2857142857142856
36047010100,22.0,25.714285714285715
36047010200,5.4,7.428571428571429
36047010401,1.8,3.142857142857143
36047010402,1.2,1.8571428571428572
36047010601,5.0,3.4285714285714284
36047010602,0.6,1.7142857142857142
36047010801,0.8,0.8571428571428571
36047010802,1.0,2.4285714285714284
36047011000,8.8,11.571428571428571
36047011200,10.2,9.142857142857142
36047011400,1.4,2.7142857142857144
36047011600,1.2,3.0
36047011700,3.0,8.285714285714286
36047011800,2.4,1.7142857142857142
36047011901,23.8,16.714285714285715
36047011902,2.2,1.8571428571428572
